time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
23:33:39,24.1,95.4,135,4,kafka=23.46%/514MiB / 4.804GiB ; elasticsearch=6.43%/1.538GiB / 4.804GiB ; zookeeper=0.53%/98.17MiB / 4.804GiB
23:33:44,34.6,95.7,135,7,kafka=0.67%/499.1MiB / 4.804GiB ; elasticsearch=9.22%/1.538GiB / 4.804GiB ; zookeeper=0.57%/98.16MiB / 4.804GiB
23:33:48,21.9,95.9,139,6,kafka=0.68%/499.1MiB / 4.804GiB ; elasticsearch=3.93%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.16MiB / 4.804GiB
23:33:52,31.7,95.8,138,6,kafka=159.87%/550.3MiB / 4.804GiB ; elasticsearch=3.92%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.16MiB / 4.804GiB
23:33:57,31.1,95.8,135,8,kafka=1.05%/499.1MiB / 4.804GiB ; elasticsearch=4.54%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.16MiB / 4.804GiB
23:34:01,24.4,95.7,135,9,kafka=0.75%/500.6MiB / 4.804GiB ; elasticsearch=3.79%/1.538GiB / 4.804GiB ; zookeeper=0.26%/98.17MiB / 4.804GiB
23:34:06,31.3,95.7,135,6,kafka=0.80%/500.3MiB / 4.804GiB ; elasticsearch=5.81%/1.538GiB / 4.804GiB ; zookeeper=0.22%/98.09MiB / 4.804GiB
23:34:09,24.6,95.7,140,9,kafka=0.98%/500.3MiB / 4.804GiB ; elasticsearch=3.90%/1.538GiB / 4.804GiB ; zookeeper=0.16%/98.17MiB / 4.804GiB
23:34:14,23.7,95.8,140,11,kafka=94.38%/535.2MiB / 4.804GiB ; elasticsearch=3.86%/1.538GiB / 4.804GiB ; zookeeper=0.43%/98.17MiB / 4.804GiB
23:34:18,29.6,95.9,136,9,kafka=0.78%/500.3MiB / 4.804GiB ; elasticsearch=4.52%/1.538GiB / 4.804GiB ; zookeeper=0.30%/98.16MiB / 4.804GiB
23:34:22,23.9,95.8,135,10,kafka=0.86%/500.3MiB / 4.804GiB ; elasticsearch=3.75%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.17MiB / 4.804GiB
23:34:27,31.0,96.2,135,9,kafka=32.70%/500.3MiB / 4.804GiB ; elasticsearch=4.38%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.16MiB / 4.804GiB
23:34:31,25.7,96.1,135,4,kafka=0.79%/500.3MiB / 4.804GiB ; elasticsearch=7.27%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.17MiB / 4.804GiB
23:34:36,23.1,95.9,140,4,kafka=181.59%/564.6MiB / 4.804GiB ; elasticsearch=3.63%/1.538GiB / 4.804GiB ; zookeeper=0.48%/98.16MiB / 4.804GiB
23:34:40,33.6,96.0,139,4,kafka=1.39%/500.3MiB / 4.804GiB ; elasticsearch=3.63%/1.538GiB / 4.804GiB ; zookeeper=0.77%/98.2MiB / 4.804GiB
23:34:44,30.9,96.2,152,3,kafka=1.69%/500.3MiB / 4.804GiB ; elasticsearch=4.52%/1.538GiB / 4.804GiB ; zookeeper=0.24%/98.17MiB / 4.804GiB
23:34:49,66.3,97.8,196,1,kafka=53.62%/500.3MiB / 4.804GiB ; elasticsearch=4.16%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.17MiB / 4.804GiB
23:34:54,58.5,97.7,189,32,kafka=1.72%/500.3MiB / 4.804GiB ; elasticsearch=6.00%/1.538GiB / 4.804GiB ; zookeeper=0.30%/98.16MiB / 4.804GiB
23:34:58,94.8,98.8,195,16,kafka=63.06%/514.6MiB / 4.804GiB ; elasticsearch=5.47%/1.538GiB / 4.804GiB ; zookeeper=0.23%/98.16MiB / 4.804GiB
23:35:03,91.0,97.4,151,30,kafka=48.51%/500.3MiB / 4.804GiB ; elasticsearch=5.84%/1.538GiB / 4.804GiB ; zookeeper=0.50%/98.17MiB / 4.804GiB
23:35:08,60.1,97.3,143,30,kafka=1.75%/500.3MiB / 4.804GiB ; elasticsearch=4.80%/1.538GiB / 4.804GiB ; zookeeper=0.23%/98.16MiB / 4.804GiB
23:35:12,41.0,96.2,143,25,kafka=39.85%/520.2MiB / 4.804GiB ; elasticsearch=3.91%/1.539GiB / 4.804GiB ; zookeeper=0.15%/98.16MiB / 4.804GiB
23:35:17,50.9,95.6,143,28,kafka=1.08%/500.3MiB / 4.804GiB ; elasticsearch=3.91%/1.538GiB / 4.804GiB ; zookeeper=0.24%/98.16MiB / 4.804GiB
23:35:21,38.1,95.4,143,36,kafka=1.37%/500.3MiB / 4.804GiB ; elasticsearch=8.29%/1.539GiB / 4.804GiB ; zookeeper=0.20%/98.17MiB / 4.804GiB
23:35:26,42.9,95.4,143,29,kafka=83.74%/500.3MiB / 4.804GiB ; elasticsearch=4.05%/1.538GiB / 4.804GiB ; zookeeper=0.16%/98.16MiB / 4.804GiB
23:35:30,41.7,95.2,151,16,kafka=0.99%/500.3MiB / 4.804GiB ; elasticsearch=4.02%/1.539GiB / 4.804GiB ; zookeeper=0.33%/98.16MiB / 4.804GiB
23:35:34,32.3,94.9,143,30,kafka=0.99%/500.3MiB / 4.804GiB ; elasticsearch=4.85%/1.539GiB / 4.804GiB ; zookeeper=0.18%/98.17MiB / 4.804GiB
23:35:38,38.4,95.1,143,31,kafka=45.99%/500.3MiB / 4.804GiB ; elasticsearch=4.26%/1.538GiB / 4.804GiB ; zookeeper=0.18%/98.16MiB / 4.804GiB
23:35:42,38.7,94.9,143,33,kafka=1.41%/500.3MiB / 4.804GiB ; elasticsearch=4.25%/1.538GiB / 4.804GiB ; zookeeper=0.19%/98.17MiB / 4.804GiB
23:35:47,38.0,94.8,143,32,kafka=20.69%/514.9MiB / 4.804GiB ; elasticsearch=4.05%/1.538GiB / 4.804GiB ; zookeeper=0.66%/98.16MiB / 4.804GiB
23:35:52,46.8,95.0,149,33,kafka=1.44%/499.5MiB / 4.804GiB ; elasticsearch=4.89%/1.538GiB / 4.804GiB ; zookeeper=0.25%/98.16MiB / 4.804GiB
23:35:56,32.6,95.0,142,29,kafka=1.71%/499.5MiB / 4.804GiB ; elasticsearch=4.81%/1.538GiB / 4.804GiB ; zookeeper=1.01%/98.16MiB / 4.804GiB
23:36:01,34.5,94.7,150,30,kafka=178.18%/550.1MiB / 4.804GiB ; elasticsearch=3.83%/1.538GiB / 4.804GiB ; zookeeper=0.17%/98.17MiB / 4.804GiB
23:36:05,42.0,94.9,143,36,kafka=0.92%/499.5MiB / 4.804GiB ; elasticsearch=4.19%/1.539GiB / 4.804GiB ; zookeeper=0.74%/98.17MiB / 4.804GiB
23:36:09,33.9,94.9,143,19,kafka=1.11%/499.5MiB / 4.804GiB ; elasticsearch=4.22%/1.539GiB / 4.804GiB ; zookeeper=0.66%/98.17MiB / 4.804GiB
23:36:13,41.4,94.8,144,32,kafka=108.00%/573.4MiB / 4.804GiB ; elasticsearch=6.59%/1.539GiB / 4.804GiB ; zookeeper=0.14%/98.17MiB / 4.804GiB
23:36:18,31.7,95.3,150,33,kafka=0.95%/499.5MiB / 4.804GiB ; elasticsearch=5.49%/1.539GiB / 4.804GiB ; zookeeper=0.22%/98.17MiB / 4.804GiB
23:36:22,39.5,95.1,150,32,kafka=1.28%/499.5MiB / 4.804GiB ; elasticsearch=4.29%/1.539GiB / 4.804GiB ; zookeeper=0.17%/98.19MiB / 4.804GiB
23:36:27,41.3,95.2,143,36,kafka=1.68%/499.5MiB / 4.804GiB ; elasticsearch=4.57%/1.539GiB / 4.804GiB ; zookeeper=0.33%/98.18MiB / 4.804GiB
23:36:31,25.6,95.1,143,30,kafka=1.59%/499.5MiB / 4.804GiB ; elasticsearch=2.67%/1.539GiB / 4.804GiB ; zookeeper=0.28%/98.18MiB / 4.804GiB
23:36:36,43.3,95.6,157,30,kafka=79.53%/499.6MiB / 4.804GiB ; elasticsearch=2.75%/1.539GiB / 4.804GiB ; zookeeper=0.32%/98.18MiB / 4.804GiB
23:36:41,48.0,96.2,190,19,kafka=1.74%/499.7MiB / 4.804GiB ; elasticsearch=2.63%/1.539GiB / 4.804GiB ; zookeeper=0.17%/98.18MiB / 4.804GiB
23:36:45,18.2,96.2,149,19,kafka=3.94%/500MiB / 4.804GiB ; elasticsearch=0.79%/1.538GiB / 4.804GiB ; zookeeper=0.12%/98.18MiB / 4.804GiB
