time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
23:41:02,19.9,95.2,161,4,kafka=0.62%/502.7MiB / 4.804GiB ; elasticsearch=4.03%/1.54GiB / 4.804GiB ; zookeeper=0.13%/98.2MiB / 4.804GiB
23:41:06,27.9,95.2,155,2,kafka=1.67%/502.7MiB / 4.804GiB ; elasticsearch=4.14%/1.54GiB / 4.804GiB ; zookeeper=0.18%/98.2MiB / 4.804GiB
23:41:10,26.5,94.9,161,2,kafka=0.70%/502.7MiB / 4.804GiB ; elasticsearch=4.08%/1.541GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:41:14,22.2,94.8,159,2,kafka=0.90%/502.7MiB / 4.804GiB ; elasticsearch=3.80%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.2MiB / 4.804GiB
23:41:18,27.6,95.4,159,2,kafka=0.95%/502.7MiB / 4.804GiB ; elasticsearch=4.24%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.2MiB / 4.804GiB
23:41:23,22.4,95.0,166,6,kafka=0.88%/502.7MiB / 4.804GiB ; elasticsearch=4.08%/1.54GiB / 4.804GiB ; zookeeper=0.56%/98.21MiB / 4.804GiB
23:41:27,17.3,94.8,153,1,kafka=170.10%/564.7MiB / 4.804GiB ; elasticsearch=4.03%/1.54GiB / 4.804GiB ; zookeeper=0.11%/98.2MiB / 4.804GiB
23:41:32,29.9,95.2,159,3,kafka=0.98%/502.7MiB / 4.804GiB ; elasticsearch=3.70%/1.54GiB / 4.804GiB ; zookeeper=0.11%/98.2MiB / 4.804GiB
23:41:36,18.6,94.7,159,1,kafka=0.75%/502.7MiB / 4.804GiB ; elasticsearch=3.97%/1.54GiB / 4.804GiB ; zookeeper=0.54%/98.21MiB / 4.804GiB
23:41:40,27.6,95.3,167,1,kafka=0.76%/502.7MiB / 4.804GiB ; elasticsearch=4.19%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:41:44,22.0,94.8,157,2,kafka=0.83%/502.7MiB / 4.804GiB ; elasticsearch=4.08%/1.54GiB / 4.804GiB ; zookeeper=0.13%/98.21MiB / 4.804GiB
