time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
13:12:12,15.0,72.9,524,30,kafka=0.54%/549.4MiB / 4.804GiB ; elasticsearch=2.49%/1.521GiB / 4.804GiB ; zookeeper=0.60%/95.43MiB / 4.804GiB
13:12:16,18.2,73.3,521,30,kafka=0.80%/549.4MiB / 4.804GiB ; elasticsearch=2.57%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.43MiB / 4.804GiB
13:12:20,13.4,73.1,525,29,kafka=1.58%/549.4MiB / 4.804GiB ; elasticsearch=2.41%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.44MiB / 4.804GiB
13:12:25,19.4,73.1,525,29,kafka=0.66%/549.4MiB / 4.804GiB ; elasticsearch=7.40%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.43MiB / 4.804GiB
13:12:29,17.6,73.3,524,31,kafka=0.53%/549.4MiB / 4.804GiB ; elasticsearch=2.62%/1.521GiB / 4.804GiB ; zookeeper=0.11%/95.44MiB / 4.804GiB
13:12:34,12.7,73.3,522,30,kafka=162.74%/623.6MiB / 4.804GiB ; elasticsearch=2.14%/1.521GiB / 4.804GiB ; zookeeper=0.10%/95.44MiB / 4.804GiB
13:12:37,19.1,73.2,524,30,kafka=0.58%/549.4MiB / 4.804GiB ; elasticsearch=4.69%/1.521GiB / 4.804GiB ; zookeeper=0.14%/95.44MiB / 4.804GiB
13:12:42,15.0,73.3,524,31,kafka=0.75%/549.4MiB / 4.804GiB ; elasticsearch=2.69%/1.521GiB / 4.804GiB ; zookeeper=0.12%/95.44MiB / 4.804GiB
13:12:46,18.4,73.6,520,33,kafka=1.47%/549.4MiB / 4.804GiB ; elasticsearch=2.66%/1.521GiB / 4.804GiB ; zookeeper=0.22%/95.43MiB / 4.804GiB
13:12:50,16.1,73.4,522,31,kafka=0.68%/549.4MiB / 4.804GiB ; elasticsearch=2.56%/1.521GiB / 4.804GiB ; zookeeper=0.51%/95.44MiB / 4.804GiB
13:12:55,10.2,73.4,522,28,kafka=112.71%/597.2MiB / 4.804GiB ; elasticsearch=2.28%/1.521GiB / 4.804GiB ; zookeeper=0.48%/95.44MiB / 4.804GiB
13:12:59,19.2,73.4,524,30,kafka=0.81%/549.4MiB / 4.804GiB ; elasticsearch=2.37%/1.522GiB / 4.804GiB ; zookeeper=0.71%/95.47MiB / 4.804GiB
13:13:04,12.6,73.4,524,29,kafka=0.83%/549.4MiB / 4.804GiB ; elasticsearch=2.49%/1.521GiB / 4.804GiB ; zookeeper=0.53%/95.44MiB / 4.804GiB
13:13:07,19.6,73.3,524,29,kafka=0.95%/549.4MiB / 4.804GiB ; elasticsearch=3.23%/1.521GiB / 4.804GiB ; zookeeper=0.17%/95.43MiB / 4.804GiB
13:13:12,13.2,73.4,526,31,kafka=0.61%/549.4MiB / 4.804GiB ; elasticsearch=2.58%/1.521GiB / 4.804GiB ; zookeeper=0.11%/95.44MiB / 4.804GiB
13:13:16,13.6,73.5,524,30,kafka=29.07%/572.9MiB / 4.804GiB ; elasticsearch=2.26%/1.521GiB / 4.804GiB ; zookeeper=0.11%/95.43MiB / 4.804GiB
13:13:20,20.7,73.3,526,30,kafka=0.80%/549.5MiB / 4.804GiB ; elasticsearch=8.26%/1.522GiB / 4.804GiB ; zookeeper=0.22%/95.43MiB / 4.804GiB
13:13:25,14.2,73.3,524,28,kafka=0.56%/549.5MiB / 4.804GiB ; elasticsearch=2.73%/1.522GiB / 4.804GiB ; zookeeper=0.18%/95.43MiB / 4.804GiB
