time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
12:59:01,12.0,71.4,540,30,kafka=0.62%/539MiB / 4.804GiB ; elasticsearch=2.88%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
12:59:05,12.4,71.4,539,30,kafka=64.21%/571.7MiB / 4.804GiB ; elasticsearch=2.41%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.26MiB / 4.804GiB
12:59:10,25.7,71.4,539,28,kafka=2.79%/539MiB / 4.804GiB ; elasticsearch=4.41%/1.515GiB / 4.804GiB ; zookeeper=0.69%/91.26MiB / 4.804GiB
12:59:14,12.5,71.4,540,28,kafka=0.66%/539MiB / 4.804GiB ; elasticsearch=3.24%/1.515GiB / 4.804GiB ; zookeeper=0.47%/91.26MiB / 4.804GiB
12:59:19,18.6,71.5,541,31,kafka=20.34%/539.2MiB / 4.804GiB ; elasticsearch=4.30%/1.515GiB / 4.804GiB ; zookeeper=0.47%/91.28MiB / 4.804GiB
12:59:23,13.8,71.5,539,29,kafka=0.58%/539.1MiB / 4.804GiB ; elasticsearch=2.51%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.25MiB / 4.804GiB
12:59:27,13.5,71.4,539,29,kafka=67.22%/575.4MiB / 4.804GiB ; elasticsearch=2.99%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.25MiB / 4.804GiB
12:59:31,18.9,71.5,539,31,kafka=1.09%/540MiB / 4.804GiB ; elasticsearch=2.46%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.25MiB / 4.804GiB
12:59:35,13.1,71.5,539,29,kafka=0.85%/540MiB / 4.804GiB ; elasticsearch=2.59%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
12:59:40,15.2,71.4,537,31,kafka=0.95%/540MiB / 4.804GiB ; elasticsearch=2.44%/1.515GiB / 4.804GiB ; zookeeper=0.15%/91.51MiB / 4.804GiB
12:59:44,14.3,71.5,536,29,kafka=0.84%/540MiB / 4.804GiB ; elasticsearch=3.50%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.26MiB / 4.804GiB
12:59:49,16.2,71.4,534,29,kafka=0.60%/540MiB / 4.804GiB ; elasticsearch=2.67%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
12:59:53,16.4,71.4,536,30,kafka=1.54%/540MiB / 4.804GiB ; elasticsearch=3.55%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.27MiB / 4.804GiB
